Year,Rank,Team,Player,College,Years,Minutes,MPG,WS,WS48,BPM,VORP
2006,52,LAC,Guillermo Díaz,Miami (FL),1,18,3.0,0.0,.033,-2.9,0.0
2006,53,SEA,Yotam Halperin,,,,,,,,
2006,54,NJN,Hassan Adams,Arizona,2,547,7.5,0.8,.072,-2.3,0.0
2006,55,CLE,Ejike Ugboaja,,,,,,,,
2006,56,TOR,Edin Bavčić,,,,,,,,
2006,57,MIN,Denham Brown,,,,,,,,
2006,58,DAL,Denham Brown,George Washington,,,,,,,
2006,59,SAS,Damir Markota,,1,170,5.7,-0.2,-.070,-8.5,-0.3
2006,60,DET,Will Blalock,Iowa State,1,166,11.9,-0.1,-.032,-5.8,-0.2
2007,1,POR,Greg Oden,Ohio State,3,2028,19.3,7.3,.174,-0.4,0.8
2007,2,SEA,Kevin Durant,Texas,13,32462,36.7,146.7,.217,6.7,71.6
2007,3,ATL,Al Horford,Florida,14,28592,32.5,92.8,.156,2.8,34.7
2007,4,MEM,Mike Conley,Ohio State,14,28561,32.2,80.1,.135,2.4,31.9
2007,5,BOS,Jeff Green,Georgetown,13,28614,29.3,46.4,.078,-1.3,4.9
2007,6,MIL,Yi Jianlian,,5,6038,22.2,3.1,.025,-4.3,-3.5
2007,7,MIN,Corey Brewer,Florida,13,18771,22.9,22.5,.058,-1.6,2.0
2007,8,CHA,Brandan Wright,UNC,10,6949,16.2,26.2,.181,2.3,7.5
2007,9,CHI,Joakim Noah,Florida,13,18646,27.7,61.9,.159,2.5,20.9
2007,10,SAC,Spencer Hawes,Washington,10,15541,22.7,22.6,.070,-1.1,3.4
2007,11,ATL,Acie Law,Texas A&amp;M,4,2385,12.7,1.6,.032,-3.9,-1.1
2007,12,PHI,Thaddeus Young,Georgia Tech,14,30933,29.9,66.7,.103,0.4,19.0
2007,13,NOK,Julian Wright,Kansas,4,3049,13.2,3.9,.061,-0.5,1.2
2007,14,LAC,Al Thornton,Florida State,4,8274,28.0,6.1,.035,-3.5,-3.2
2007,15,DET,Rodney Stuckey,Eastern Washington,10,17890,27.5,28.7,.077,-0.9,4.9
2007,16,WAS,Nick Young,USC,12,16419,22.8,18.6,.054,-2.2,-0.8
2007,17,NJN,Sean Williams,Boston College,4,1978,14.4,3.0,.073,-3.1,-0.6
2007,18,GSW,Marco Belinelli,,13,19548,22.7,30.5,.075,-1.3,3.3
2007,19,LAL,Javaris Crittenton,Georgia Tech,2,1853,16.4,0.1,.002,-4.2,-1.0
