Year,Rank,Team,Player,College,Years,Minutes,MPG,WS,WS48,BPM,VORP
2015,22,CHI,Bobby Portis,Arkansas,6,7809,20.5,15.6,.096,-0.8,2.3
2015,23,POR,Rondae Hollis-Jefferson,Arizona,6,6759,22.2,12.9,.091,-0.7,2.3
2015,24,CLE,Tyus Jones,Duke,6,6828,17.9,14.2,.100,0.0,3.5
2015,25,MEM,Jarell Martin,LSU,4,2927,15.9,3.2,.053,-4.3,-1.7
2015,26,SAS,Nikola Milutinov,,,,,,,,
2015,27,LAL,Larry Nance Jr.,Wyoming,6,8487,24.2,22.2,.125,1.2,6.8
2015,28,BOS,R.J. Hunter,Georgia State University,4,395,8.8,0.4,.051,-2.0,0.0
2015,29,BRK,Chris McCullough,Syracuse,3,532,9.0,0.6,.054,-2.5,-0.1
2015,30,GSW,Kevon Looney,UCLA,6,4282,15.0,13.7,.153,-0.8,1.3
2015,31,MIN,Cedi Osman,,4,6536,25.0,4.4,.032,-2.9,-1.5
2015,32,HOU,Montrezl Harrell,Louisville,6,8223,21.2,33.4,.195,2.6,9.6
2015,33,BOS,Jordan Mickey,LSU,3,482,7.5,0.5,.050,-4.8,-0.3
2015,34,LAL,Anthony Brown,Stanford,3,762,18.6,-0.2,-.016,-5.1,-0.6
2015,35,PHI,Willy Hernangómez,,5,3852,15.0,11.5,.143,0.1,2.0
2015,36,MIN,Rakeem Christmas,Syracuse,2,225,7.5,0.5,.105,-4.7,-0.2
2015,37,PHI,Richaun Holmes,Bowling Green,6,6849,20.7,23.4,.164,0.5,4.3
2015,38,DET,Darrun Hilliard,Villanova,3,859,9.4,0.3,.016,-4.7,-0.6
2015,39,CHO,Juan Pablo Vaulet,,,,,,,,
2015,40,MIA,Josh Richardson,Tennessee,6,11432,30.6,20.3,.085,-0.6,4.1
2015,41,BRK,Pat Connaughton,Notre Dame,6,6026,17.1,13.7,.109,-0.4,2.4
2015,42,UTA,Olivier Hanlan,Boston College,,,,,,,
2015,43,IND,Joe Young,Oregon,3,1077,8.5,0.4,.016,-4.1,-0.6
2015,44,PHO,Andrew Harrison,Kentucky,3,2987,20.6,3.2,.051,-2.8,-0.6
2015,45,BOS,Marcus Thornton,William &amp; Mary,,,,,,,
2015,46,MIL,Norman Powell,UCLA,6,7965,21.2,16.7,.101,-0.2,3.6
2015,47,PHI,Artūras Gudaitis,,,,,,,,
2015,48,OKC,Dakari Johnson,Kentucky,1,161,5.2,0.6,.178,-0.3,0.1
2015,49,WAS,Aaron White,Iowa,,,,,,,
2015,50,ATL,Marcus Eriksson,,,,,,,,
2015,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,
2015,52,DAL,Satnam Singh,,,,,,,,
2015,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,
2015,54,UTA,Dani Díez,,,,,,,,
2015,55,SAS,Cady Lalanne,UMass,,,,,,,
2015,56,NOP,Branden Dawson,Michigan State,1,29,4.8,0.0,.069,-5.7,0.0
2015,57,DEN,Nikola Radičević,,,,,,,,
2015,58,PHI,J.P. Tokoto,UNC,,,,,,,
2015,59,ATL,Dimitrios Agravanis,,,,,,,,
2015,60,PHI,Luka Mitrović,,,,,,,,
2016,1,PHI,Ben Simmons,LSU,4,9326,33.9,30.4,.156,3.7,13.4
2016,2,LAL,Brandon Ingram,Duke,5,10211,32.6,14.8,.070,-0.7,3.4
2016,3,BOS,Jaylen Brown,California,5,9339,27.7,18.7,.096,-0.4,3.9
2016,4,PHO,Dragan Bender,,4,3755,20.1,0.5,.006,-4.0,-1.9
2016,5,MIN,Kris Dunn,Providence,5,5561,24.1,3.7,.032,-1.9,0.1
2016,6,NOP,Buddy Hield,Oklahoma,5,11176,28.9,15.2,.065,0.4,6.7
2016,7,DEN,Jamal Murray,Kentucky,5,10384,30.1,20.8,.096,0.2,5.9
2016,8,SAC,Marquese Chriss,Washington,5,4992,19.3,5.7,.055,-2.3,-0.4
2016,9,TOR,Jakob Poeltl,Utah,5,6439,18.5,22.0,.164,0.8,4.6
2016,10,MIL,Thon Maker,,5,3624,13.8,6.6,.087,-2.1,-0.1
2016,11,ORL,Domantas Sabonis,Gonzaga,5,9670,27.4,27.5,.137,1.3,8.0
2016,12,UTA,Taurean Prince,Baylor,5,7759,25.8,6.1,.038,-1.9,0.1
2016,13,PHO,Georgios Papagiannis,,2,477,12.2,0.4,.044,-3.9,-0.2
2016,14,CHI,Denzel Valentine,Michigan State,4,4595,19.8,4.3,.045,-1.9,0.1
2016,15,DEN,Juan Hernangómez,,5,4210,16.4,7.2,.082,-2.0,0.0
2016,16,BOS,Guerschon Yabusele,,2,486,6.6,1.1,.105,-1.9,0.0
2016,17,MEM,Wade Baldwin,Vanderbilt,3,579,10.3,-0.3,-.028,-5.3,-0.5
2016,18,DET,Henry Ellenson,Marquette,5,787,9.5,0.4,.023,-3.7,-0.3
2016,19,DEN,Malik Beasley,Florida State,5,5050,19.6,7.6,.072,-1.1,1.2
2016,20,IND,Caris LeVert,Michigan,5,6980,26.8,9.7,.066,-0.4,2.7
2016,21,ATL,DeAndre' Bembry,Saint Joseph's,5,4644,19.4,2.2,.023,-2.7,-0.8
2016,22,CHO,Malachi Richardson,Syracuse,3,625,8.9,-0.1,-.009,-6.1,-0.7
2016,23,BOS,Ante Žižić,,3,1517,13.4,3.5,.110,-2.6,-0.2
2016,24,PHI,Timothé Luwawu-Cabarrot,,5,4569,16.6,3.9,.041,-4.2,-2.6
2016,25,LAC,Brice Johnson,UNC,2,107,5.1,0.1,.062,-0.6,0.0
2016,26,PHI,Furkan Korkmaz,,4,3380,17.9,5.9,.084,-1.2,0.7
2016,27,TOR,Pascal Siakam,New Mexico State,5,9202,27.7,25.2,.131,1.2,7.4
2016,28,PHO,Skal Labissière,Kentucky,4,2595,17.5,4.4,.081,-2.3,-0.2
2016,29,SAS,Dejounte Murray,Washington,4,5891,23.4,9.1,.074,0.2,3.3
2016,30,GSW,Damian Jones,Vanderbilt,5,2018,14.1,5.9,.141,-1.5,0.3
2016,31,BOS,Deyonta Davis,Michigan State,3,1299,12.1,3.6,.131,-2.1,0.0
2016,32,LAL,Ivica Zubac,,5,4994,17.6,18.9,.181,0.5,3.1
2016,33,LAC,Cheick Diallo,Kansas,4,2155,12.0,6.3,.140,-1.3,0.4
2016,34,PHO,Tyler Ulis,Kentucky,3,2782,20.9,0.5,.008,-3.6,-1.1
2016,35,BOS,Rade Zagorac,,,,,,,,
2016,36,MIL,Malcolm Brogdon,Virginia,5,8846,29.8,21.5,.117,0.8,6.4
2016,37,HOU,Chinanu Onuaku,Louisville,2,74,12.3,0.1,.043,-5.4,-0.1
2016,38,MIL,Patrick McCaw,UNLV,5,3373,16.9,4.4,.062,-2.8,-0.6
2016,39,NOP,David Michineau,,,,,,,,
2016,40,NOP,Diamond Stone,Maryland,1,24,3.4,-0.1,-.211,-20.8,-0.1
2016,41,ORL,Stephen Zimmerman,UNLV,1,108,5.7,0.0,-.005,-8.3,-0.2
2016,42,UTA,Isaiah Whitehead,Seton Hall,2,1823,20.5,-0.9,-.025,-5.0,-1.4
2016,43,HOU,Zhou Qi,,2,125,6.6,-0.2,-.093,-9.6,-0.2
2016,44,ATL,Isaïa Cordinier,,,,,,,,
2016,45,BOS,Demetrius Jackson,Notre Dame,3,136,5.2,0.2,.087,-0.5,0.1
2016,46,DAL,A.J. Hammons,Purdue,1,163,7.4,0.0,-.001,-6.6,-0.2
2016,47,ORL,Jake Layman,Maryland,5,2868,13.7,3.7,.062,-2.3,-0.2
2016,48,CHI,Paul Zipser,,2,1667,17.0,0.0,-.001,-5.2,-1.4
2016,49,DET,Michael Gbinije,Syracuse,1,32,3.6,-0.1,-.136,-12.1,-0.1
2016,50,IND,Georges Niang,Iowa State,5,2718,11.9,5.4,.094,-0.6,1.0
2016,51,BOS,Ben Bentil,Providence,1,10,3.3,-0.1,-.473,-25.9,-0.1
2016,52,UTA,Joel Bolomboy,Weber State,2,91,5.1,0.3,.132,-0.1,0.0
2016,53,DEN,Petr Cornelie,,,,,,,,
2016,54,ATL,Kay Felder,Oakland,2,526,9.1,-0.4,-.041,-4.7,-0.4
2016,55,BRK,Marcus Paige,UNC,1,28,5.6,0.0,-.006,-8.8,0.0
2016,56,DEN,Daniel Hamilton,UConn,2,232,9.3,0.0,.000,-3.3,-0.1
2016,57,MEM,Wang Zhelin,,,,,,,,
2016,58,BOS,Abdel Nader,Iowa State,4,2438,13.0,2.8,.055,-2.5,-0.3
2016,59,SAC,Isaiah Cousins,Oklahoma,,,,,,,
2016,60,UTA,Tyrone Wallace,California,3,1639,15.5,0.2,.006,-5.1,-1.3
2017,1,PHI,Markelle Fultz,Washington,4,2891,25.6,3.1,.052,-2.2,-0.2
2017,2,LAL,Lonzo Ball,UCLA,4,6975,32.1,9.2,.063,0.8,4.8
2017,3,BOS,Jayson Tatum,Duke,4,9453,32.7,25.5,.129,2.1,9.8
2017,4,PHO,Josh Jackson,Kansas,4,5888,24.5,-1.7,-.014,-3.8,-2.7
2017,5,SAC,De'Aaron Fox,Kentucky,4,8242,31.3,13.2,.077,0.1,4.5
2017,6,ORL,Jonathan Isaac,Florida State,3,3512,25.8,6.7,.091,0.2,2.0
2017,7,MIN,Lauri Markkanen,Arizona,4,6511,29.5,11.6,.086,-0.2,2.8
2017,8,NYK,Frank Ntilikina,,4,4119,19.5,-0.4,-.004,-4.5,-2.6
2017,9,DAL,Dennis Smith Jr.,NC State,4,4514,25.2,-1.0,-.010,-2.4,-0.5
2017,10,SAC,Zach Collins,Gonzaga,3,2691,17.5,3.9,.069,-2.6,-0.4
2017,11,CHO,Malik Monk,Kentucky,4,4159,17.8,2.0,.023,-2.7,-0.7
2017,12,DET,Luke Kennard,Duke,4,5054,22.3,9.7,.092,-0.7,1.6
2017,13,DEN,Donovan Mitchell,Louisville,4,9371,33.7,21.8,.112,1.8,9.1
2017,14,MIA,Bam Adebayo,Kentucky,4,7841,27.3,28.3,.173,2.7,9.4
2017,15,POR,Justin Jackson,UNC,4,4742,19.1,5.3,.053,-2.8,-1.0
2017,16,CHI,Justin Patton,Creighton,4,296,13.5,0.4,.066,-2.6,0.0
2017,17,MIL,D.J. Wilson,Michigan,4,1749,12.3,2.4,.067,-2.9,-0.4
2017,18,IND,T.J. Leaf,UCLA,4,1238,8.5,2.7,.104,-1.8,0.1
2017,19,ATL,John Collins,Wake Forest,4,6825,28.6,23.1,.162,1.4,5.8
2017,20,POR,Harry Giles,Duke,3,1835,12.9,3.0,.079,-2.5,-0.2
2017,21,OKC,Terrance Ferguson,,4,4000,19.6,4.4,.053,-4.0,-2.1
2017,22,BRK,Jarrett Allen,Texas,4,7253,25.4,26.5,.175,1.2,5.8
2017,23,TOR,OG Anunoby,Indiana,4,6332,25.0,13.8,.105,0.0,3.1
2017,24,UTA,Tyler Lydon,Syracuse,2,96,3.7,0.2,.084,-4.3,-0.1
2017,25,ORL,Anžejs Pasečņiks,,2,443,15.8,0.4,.038,-6.2,-0.5
2017,26,POR,Caleb Swanigan,Purdue,3,655,8.7,-0.2,-.015,-6.2,-0.7
2017,27,BRK,Kyle Kuzma,Utah,4,8195,29.7,12.2,.072,-1.2,1.5
2017,28,LAL,Tony Bradley,UNC,4,1412,12.6,6.1,.208,0.9,1.0
2017,29,SAS,Derrick White,Colorado,4,4608,24.5,10.2,.106,1.1,3.6
2017,30,UTA,Josh Hart,Villanova,4,6280,26.0,11.4,.087,-0.8,1.9
2017,31,CHO,Frank Jackson,Duke,3,2704,16.9,1.8,.031,-4.2,-1.5
2017,32,PHO,Davon Reed,Miami (FL),2,289,9.3,-0.2,-.039,-6.3,-0.3
2017,33,ORL,Wesley Iwundu,Kansas State,4,3745,16.8,4.2,.053,-3.8,-1.8
2017,34,SAC,Frank Mason III,Kansas,4,1616,15.7,1.2,.035,-2.7,-0.3
2017,35,ORL,Ivan Rabb,California,2,1237,14.6,3.2,.125,-1.7,0.1
2017,36,PHI,Jonah Bolden,,2,686,13.5,1.4,.098,-1.3,0.1
2017,37,BOS,Semi Ojeleye,SMU,4,3705,14.6,5.0,.064,-3.3,-1.2
2017,38,CHI,Jordan Bell,Oregon,4,1935,12.1,4.9,.121,0.2,1.1
2017,39,PHI,Jawun Evans,Oklahoma State,2,843,15.1,-0.4,-.022,-5.4,-0.7
2017,40,NOP,Dwayne Bacon,Florida State,4,4012,19.4,0.8,.010,-5.0,-3.1
2017,41,ATL,Tyler Dorsey,Oregon,2,1672,16.1,1.0,.030,-3.1,-0.5
2017,42,UTA,Thomas Bryant,Indiana,4,2986,20.9,10.5,.169,1.8,2.8
2017,43,HOU,Isaiah Hartenstein,,3,1046,10.8,3.1,.141,-1.5,0.1
2017,44,NYK,Damyean Dotson,Oregon,4,4221,20.0,3.0,.034,-2.8,-0.9
2017,45,HOU,Dillon Brooks,Oregon,4,6789,28.3,3.7,.026,-4.1,-3.7
2017,46,PHI,Sterling Brown,SMU,4,3806,17.7,5.8,.073,-2.0,0.0
2017,47,IND,Ike Anigbogu,UCLA,2,36,2.6,0.0,.057,-1.1,0.0
2017,48,MIL,Sindarius Thornwell,South Carolina,4,1721,10.8,1.1,.032,-3.1,-0.5
2017,49,DEN,Vlatko Čančar,,2,326,5.9,0.4,.054,-3.0,-0.1
2017,50,PHI,Mathias Lessort,,,,,,,,
2017,51,DEN,Monte Morris,Iowa State,4,4827,23.5,13.1,.130,0.4,2.9
2017,52,NOP,Edmond Sumner,Xavier,4,1520,14.1,1.9,.061,-3.2,-0.5
2017,53,BOS,Kadeem Allen,Arizona,3,640,13.6,1.0,.075,-1.0,0.2
2017,54,PHO,Alec Peters,Valparaiso,1,225,11.3,0.3,.055,-2.8,0.0
2017,55,UTA,Nigel Williams-Goss,Gonzaga,1,50,5.0,0.0,.017,-3.9,0.0
2017,56,BOS,Jabari Bird,California,1,115,8.8,0.2,.098,-3.1,0.0
2017,57,BRK,Sasha Vezenkov,,,,,,,,
2017,58,NYK,Ognjen Jaramaz,,,,,,,,
2017,59,SAS,Jaron Blossomgame,Clemson,1,439,16.3,0.3,.030,-3.8,-0.2
2017,60,ATL,Alpha Kaba,,,,,,,,
2018,1,PHO,Deandre Ayton,Arizona,3,5534,31.1,17.4,.151,0.5,3.5
2018,2,SAC,Marvin Bagley III,Duke,3,3013,25.5,5.3,.085,-2.1,-0.1
2018,3,ATL,Luka Dončić,,3,6627,33.3,21.4,.155,6.3,13.8
2018,4,MEM,Jaren Jackson Jr.,Michigan State,3,3395,26.9,7.5,.106,0.1,1.8
2018,5,DAL,Trae Young,Oklahoma,3,6748,33.1,16.3,.116,2.2,7.0
2018,6,ORL,Mo Bamba,Texas,3,2369,15.3,5.9,.120,-0.3,1.0
2018,7,CHI,Wendell Carter Jr.,Duke,3,3741,26.5,8.6,.110,-1.9,0.1
2018,8,CLE,Collin Sexton,Alabama,3,6863,33.2,5.4,.038,-2.3,-0.6
2018,9,NYK,Kevin Knox,Kentucky,3,3788,20.8,-0.6,-.007,-4.8,-2.6
2018,10,PHI,Mikal Bridges,Villanova,3,6807,30.0,15.7,.111,0.7,4.7
2018,11,CHO,Shai Gilgeous-Alexander,Kentucky,3,5782,30.9,13.0,.108,1.3,4.8
2018,12,LAC,Miles Bridges,Michigan State,3,5623,26.6,8.8,.075,-1.1,1.3
2018,13,LAC,Jerome Robinson,Boston College,3,1604,14.2,-0.1,-.003,-4.8,-1.1
2018,14,DEN,Michael Porter Jr.,Missouri,2,2815,24.3,9.8,.167,2.5,3.2
2018,15,WAS,Troy Brown Jr.,Oregon,3,3036,19.6,3.5,.055,-2.1,-0.1
2018,16,PHO,Zhaire Smith,Texas Tech,2,143,11.0,0.0,.011,-6.1,-0.2
2018,17,MIL,Donte DiVincenzo,Villanova,3,3745,23.6,8.5,.108,0.3,2.2
2018,18,SAS,Lonnie Walker,Miami (FL),3,2628,19.0,0.7,.014,-3.6,-1.1
2018,19,ATL,Kevin Huerter,Maryland,3,5934,29.7,6.6,.053,-1.5,0.8
2018,20,MIN,Josh Okogie,Georgia Tech,3,4501,23.1,4.7,.050,-3.0,-1.2
2018,21,UTA,Grayson Allen,Duke,3,2393,19.0,3.9,.078,-1.8,0.2
2018,22,CHI,Chandler Hutchison,Boise State,3,1768,18.2,1.2,.032,-3.9,-0.9
2018,23,IND,Aaron Holiday,UCLA,3,3439,18.9,3.2,.045,-2.5,-0.4
2018,24,POR,Anfernee Simons,,3,2694,17.5,2.0,.036,-3.2,-0.8
2018,25,LAL,Moritz Wagner,Michigan,3,2003,15.1,3.1,.075,-2.9,-0.4
2018,26,PHI,Landry Shamet,Wichita State,3,4657,24.1,8.0,.083,-2.0,0.0
2018,27,BOS,Robert Williams,Texas A&amp;M,3,1656,14.7,8.5,.247,5.1,3.0
2018,28,GSW,Jacob Evans,Cincinnati,2,622,10.5,-0.6,-.047,-7.4,-0.8
2018,29,BRK,Džanan Musa,,2,526,10.7,0.0,.003,-4.6,-0.4
2018,30,ATL,Omari Spellman,Villanova,2,1691,17.8,2.4,.068,-1.5,0.2
2018,31,PHO,Elie Okobo,,2,1677,15.5,0.5,.014,-4.1,-0.9
2018,32,MEM,Jevon Carter,West Virginia,3,2239,14.3,3.3,.072,-0.6,0.8
2018,33,DAL,Jalen Brunson,Villanova,3,4310,21.8,9.8,.109,-0.6,1.5
2018,34,ATL,Devonte' Graham,Kansas,3,4546,27.7,7.3,.077,-0.2,2.1
2018,35,ORL,Melvin Frazier,Tulane,2,170,5.9,0.0,.008,-5.4,-0.2
2018,36,NYK,Mitchell Robinson,,3,3625,22.9,16.3,.216,2.3,3.9
2018,37,SAC,Gary Trent Jr.,Duke,3,3245,24.2,3.9,.058,-2.0,0.0
2018,38,PHI,Khyri Thomas,Creighton,3,409,10.5,0.5,.058,-2.7,-0.1
2018,39,PHI,Isaac Bonga,,3,1802,14.1,1.6,.043,-3.8,-0.8
2018,40,BRK,Rodions Kurucs,,3,2103,16.1,2.3,.052,-2.8,-0.4
2018,41,ORL,Jarred Vanderbilt,Kentucky,3,1254,13.6,3.2,.121,-1.0,0.3
2018,42,DET,Bruce Brown,Miami (FL),3,4534,23.0,7.9,.084,-1.6,0.5
2018,43,DEN,Justin Jackson,Maryland,,,,,,,
2018,44,WAS,Issuf Sanon,,,,,,,,
2018,45,BRK,Hamidou Diallo,Kentucky,3,2648,17.8,2.8,.050,-3.3,-0.8
2018,46,HOU,De'Anthony Melton,USC,3,3196,19.7,4.0,.060,-0.3,1.4
2018,47,LAL,Sviatoslav Mykhailiuk,Kansas,3,3029,18.5,1.8,.028,-2.8,-0.6
2018,48,MIN,Keita Bates-Diop,Ohio State,3,1492,14.3,1.9,.061,-2.2,-0.1
2018,49,SAS,Chimezie Metu,USC,3,738,8.9,0.6,.039,-4.0,-0.4
2018,50,IND,Alize Johnson,Missouri State,3,371,7.6,1.2,.155,-0.5,0.1
2018,51,NOP,Tony Carr,Penn State,,,,,,,
2018,52,UTA,Vince Edwards,Purdue,1,16,8.0,0.0,-.014,-6.4,0.0
2018,53,OKC,Devon Hall,Virginia,1,81,7.4,-0.2,-.116,-6.4,-0.1
2018,54,DAL,Shake Milton,SMU,3,2534,20.6,5.2,.099,-1.9,0.1
2018,55,CHO,Arnoldas Kulboka,,,,,,,,
2018,56,PHI,Ray Spalding,Louisville,2,167,10.4,0.1,.024,-5.7,-0.2
2018,57,OKC,Kevin Hervey,UT Arlington,1,52,5.2,-0.1,-.085,-5.1,0.0
2018,58,DEN,Thomas Welsh,UCLA,1,36,3.3,0.1,.162,1.2,0.0
2018,59,PHO,George King,Colorado,1,6,6.0,0.0,-.001,-7.9,0.0
2018,60,PHI,Kostas Antetokounmpo,Dayton,3,87,4.0,-0.2,-.098,-10.2,-0.2
2019,1,NOP,Zion Williamson,Duke,2,2694,31.7,10.6,.189,4.6,4.5
2019,2,MEM,Ja Morant,Murray State,2,4127,31.7,7.0,.081,-0.2,1.8
2019,3,NYK,RJ Barrett,Duke,2,4215,32.9,3.6,.041,-2.7,-0.7
2019,4,LAL,De'Andre Hunter,Virginia,2,2696,31.3,1.8,.032,-3.3,-0.9
2019,5,CLE,Darius Garland,Vanderbilt,2,3614,32.0,-0.1,-.001,-3.6,-1.5
2019,6,PHO,Jarrett Culver,Texas Tech,2,2005,20.7,-0.2,-.005,-4.6,-1.3
2019,7,CHI,Coby White,UNC,2,3830,28.6,3.3,.041,-2.7,-0.7
2019,8,ATL,Jaxson Hayes,Texas,2,2044,16.5,7.4,.174,0.1,1.1
2019,9,WAS,Rui Hachimura,Gonzaga,2,3241,30.9,3.9,.058,-3.3,-1.1
2019,10,ATL,Cam Reddish,Duke,2,2301,27.4,0.0,.001,-4.0,-1.2
2019,11,MIN,Cameron Johnson,UNC,2,2692,23.0,5.2,.093,-0.2,1.2
2019,12,CHO,P.J. Washington,Kentucky,2,3713,30.4,4.7,.060,-1.4,0.6
2019,13,MIA,Tyler Herro,Kentucky,2,3143,28.8,3.2,.050,-1.6,0.3
2019,14,BOS,Romeo Langford,Indiana,2,653,13.1,0.2,.016,-5.0,-0.5
2019,15,DET,Sekou Doumbouya,,2,1623,17.3,-0.5,-.016,-6.9,-2.0
2019,16,ORL,Chuma Okeke,Auburn,1,1133,25.2,1.3,.056,-1.4,0.2
2019,17,BRK,Nickeil Alexander-Walker,Virginia Tech,2,1598,17.2,0.5,.015,-2.7,-0.3
2019,18,IND,Goga Bitadze,,2,1032,10.4,2.2,.101,-1.7,0.1
2019,19,SAS,Luka Šamanić,,2,356,9.9,0.1,.015,-5.0,-0.3
2019,20,BOS,Matisse Thybulle,Washington,2,2585,19.9,5.1,.094,0.9,1.9
2019,21,OKC,Brandon Clarke,Gonzaga,2,2715,23.2,9.1,.162,2.1,2.8
2019,22,BOS,Grant Williams,Tennessee,2,2181,16.5,2.7,.058,-3.4,-0.8
2019,23,UTA,Darius Bazley,,2,2844,24.5,0.0,.001,-3.3,-0.9
2019,24,PHI,Ty Jerome,Virginia,2,1116,17.4,1.3,.055,-1.4,0.2
2019,25,POR,Nassir Little,UNC,2,1213,12.6,1.7,.066,-3.3,-0.4
2019,26,CLE,Dylan Windler,Belmont,1,513,16.5,0.5,.045,-1.7,0.0
2019,27,BRK,Mfiondu Kabengele,Florida State,2,344,6.7,0.4,.054,-3.3,-0.1
2019,28,GSW,Jordan Poole,Michigan,2,2262,20.9,0.7,.015,-4.0,-1.1
2019,29,SAS,Keldon Johnson,Kentucky,2,2269,26.4,4.3,.092,-1.5,0.3
2019,30,MIL,Kevin Porter Jr.,USC,2,1997,26.3,0.3,.007,-3.8,-0.9
2019,31,BRK,Nicolas Claxton,Georgia,2,781,16.6,2.4,.145,0.1,0.4
2019,32,PHO,KZ Okpala,Stanford,2,473,11.3,0.2,.021,-6.7,-0.6
2019,33,PHI,Carsen Edwards,Purdue,2,627,9.2,0.4,.030,-4.7,-0.4
2019,34,PHI,Bruno Fernando,Maryland,2,939,10.6,0.7,.037,-4.8,-0.7
2019,35,ATL,Didi Louzada,,1,56,18.7,-0.1,-.099,-9.8,-0.1
2019,36,CHO,Cody Martin,Nevada,2,1752,17.5,2.1,.056,-2.2,-0.1
2019,37,DAL,Deividas Sirvydis,,1,133,6.7,0.0,-.010,-5.6,-0.1
2019,38,CHI,Daniel Gafford,Arkansas,2,1400,14.4,5.3,.182,0.8,1.0
2019,39,NOP,Alen Smailagić,,2,223,7.7,0.3,.056,-3.4,-0.1
2019,40,SAC,Justin James,Wyoming,2,542,7.5,0.3,.024,-3.2,-0.2
2019,41,GSW,Eric Paschall,Villanova,2,2349,23.5,3.0,.062,-2.9,-0.5
2019,42,PHI,Admiral Schofield,Tennessee,1,368,11.2,0.1,.017,-5.5,-0.3
2019,43,MIN,Jaylen Nowell,Washington,2,910,16.0,0.9,.045,-3.2,-0.3
2019,44,MIA,Bol Bol,Oregon,2,247,6.3,0.1,.020,-3.8,-0.1
2019,45,DET,Isaiah Roby,Nebraska,2,1436,22.4,1.2,.041,-3.6,-0.6
2019,46,ORL,Talen Horton-Tucker,Iowa State,2,1385,19.5,2.2,.077,-1.2,0.3
2019,47,SAC,Ignas Brazdeikis,Michigan,2,302,13.7,0.0,-.006,-6.2,-0.3
2019,48,LAC,Terance Mann,Florida State,2,1625,15.0,4.5,.133,-0.4,0.6
2019,49,SAS,Quinndary Weatherspoon,Mississippi State,2,199,6.4,-0.1,-.014,-6.0,-0.2
2019,50,IND,Jarrell Brantley,College of Charleston,2,234,6.3,0.5,.099,-0.6,0.1
2019,51,BOS,Tremont Waters,LSU,2,357,9.6,0.1,.019,-2.3,0.0
2019,52,CHO,Jalen McDaniels,San Diego State,2,1197,19.0,1.6,.066,-3.3,-0.4
2019,53,UTA,Justin Wright-Foreman,Hofstra,1,45,11.3,0.0,-.008,-9.0,-0.1
2019,54,PHI,Marial Shayok,Iowa State,1,28,7.0,-0.1,-.130,-13.0,-0.1
2019,55,NYK,Kyle Guy,Virginia,2,245,7.2,-0.1,-.016,-6.6,-0.3
2019,56,LAC,Jaylen Hands,UCLA,,,,,,,
2019,57,NOP,Jordan Bone,Tennessee,2,249,10.4,0.1,.010,-5.9,-0.2
2019,58,GSW,Miye Oni,Yale,2,628,9.8,1.0,.078,-2.5,-0.1
2019,59,TOR,Dewan Hernandez,Miami (FL),1,28,4.7,0.0,.043,-9.6,-0.1
2019,60,SAC,Vanja Marinković,,,,,,,,
2020,1,MIN,Anthony Edwards,Georgia,1,2314,32.1,0.8,.017,-2.6,-0.3
2020,2,GSW,James Wiseman,Memphis,1,836,21.4,0.7,.042,-5.4,-0.7
2020,3,CHO,LaMelo Ball,,1,1469,28.8,2.8,.093,1.9,1.4
2020,4,CHI,Patrick Williams,Florida State,1,1983,27.9,2.5,.060,-2.7,-0.3
2020,5,CLE,Isaac Okoro,Auburn,1,2173,32.4,0.9,.020,-5.0,-1.6
2020,6,ATL,Onyeka Okongwu,USC,1,601,12.0,1.9,.155,-1.3,0.1
2020,7,DET,Killian Hayes,,1,670,25.8,-1.1,-.081,-7.3,-0.9
2020,8,NYK,Obi Toppin,Dayton,1,683,11.0,1.5,.109,-1.0,0.2
2020,9,WAS,Deni Avdija,,1,1257,23.3,1.2,.046,-3.9,-0.6
2020,10,PHO,Jalen Smith,Maryland,1,156,5.8,0.1,.022,-6.2,-0.2
2020,11,SAS,Devin Vassell,Florida State,1,1056,17.0,1.5,.069,-1.9,0.1
2020,12,SAC,Tyrese Haliburton,Iowa State,1,1746,30.1,3.5,.096,1.1,1.4
2020,13,NOP,Kira Lewis Jr.,Alabama,1,904,16.7,0.9,.045,-3.8,-0.4
2020,14,BOS,Aaron Nesmith,Vanderbilt,1,669,14.5,1.1,.076,-3.2,-0.2
2020,15,ORL,Cole Anthony,UNC,1,1273,27.1,0.0,-.001,-3.3,-0.4
2020,16,POR,Isaiah Stewart,Washington,1,1455,21.4,4.0,.132,-1.2,0.3
2020,17,MIN,Aleksej Pokusevski,,1,1090,24.2,-1.9,-.084,-5.9,-1.1
2020,18,DAL,Josh Green,Arizona,1,445,11.4,0.5,.050,-3.7,-0.2
2020,19,BRK,Saddiq Bey,Villanova,1,1909,27.3,3.3,.082,-0.8,0.6
2020,20,MIA,Precious Achiuwa,Memphis,1,737,12.1,1.3,.085,-4.5,-0.5
2020,21,PHI,Tyrese Maxey,Kentucky,1,935,15.3,1.9,.099,-1.9,0.0
2020,22,DEN,Zeke Nnaji,Arizona,1,397,9.5,0.9,.104,-2.1,0.0
2020,23,NYK,Leandro Bolmaro,,,,,,,,
2020,24,MIL,R.J. Hampton,,1,888,17.4,0.4,.021,-3.8,-0.4
2020,25,OKC,Immanuel Quickley,Kentucky,1,1243,19.4,3.2,.125,0.6,0.8
2020,26,BOS,Payton Pritchard,Oregon,1,1268,19.2,2.5,.095,-1.1,0.3
